Date,Dividends
2/6/2015,1.1
11/6/2014,1.1
8/6/2014,1.1
5/7/2014,1.1
2/6/2014,0.95
11/6/2013,0.95
8/7/2013,0.95
5/8/2013,0.95
2/6/2013,0.85
11/7/2012,0.85
8/8/2012,0.85
5/8/2012,0.85
2/8/2012,0.75
11/8/2011,0.75
8/8/2011,0.75
5/6/2011,0.75
2/8/2011,0.65
11/8/2010,0.65
8/6/2010,0.65
5/6/2010,0.65
2/8/2010,0.55
11/6/2009,0.55
8/6/2009,0.55
5/6/2009,0.55
2/6/2009,0.5
11/6/2008,0.5
8/6/2008,0.5
5/7/2008,0.5
2/6/2008,0.4
11/7/2007,0.4
8/8/2007,0.4
5/8/2007,0.4
2/7/2007,0.3
11/8/2006,0.3
8/8/2006,0.3
5/8/2006,0.3
2/8/2006,0.2
11/8/2005,0.2
8/8/2005,0.2
5/6/2005,0.2
2/8/2005,0.18
11/8/2004,0.18
8/6/2004,0.18
5/6/2004,0.18
2/6/2004,0.16
11/6/2003,0.16
8/6/2003,0.16
5/7/2003,0.16
2/6/2003,0.15
11/6/2002,0.15
8/7/2002,0.15
5/8/2002,0.15
2/6/2002,0.14
11/7/2001,0.14
8/8/2001,0.14
5/8/2001,0.14
2/7/2001,0.13
11/8/2000,0.13
8/8/2000,0.13
5/8/2000,0.13
2/8/2000,0.12
11/8/1999,0.12
8/6/1999,0.12
5/6/1999,0.12
2/8/1999,0.11
11/6/1998,0.11
8/6/1998,0.11
5/6/1998,0.11
2/6/1998,0.1
11/6/1997,0.1
8/7/1997,0.1
2/6/1997,0.0875
11/6/1996,0.0875
8/7/1996,0.0875
5/8/1996,0.0875
2/7/1996,0.0625
11/8/1995,0.0625
8/8/1995,0.0625
5/4/1995,0.0625
2/6/1995,0.0625
11/4/1994,0.0625
8/4/1994,0.0625
5/5/1994,0.0625
2/4/1994,0.0625
11/4/1993,0.0625
8/5/1993,0.0625
5/6/1993,0.135
2/4/1993,0.135
11/5/1992,0.3025
8/6/1992,0.3025
5/7/1992,0.3025
2/6/1992,0.3025
11/4/1991,0.3025
8/6/1991,0.3025
5/6/1991,0.3025
2/4/1991,0.3025
11/5/1990,0.3025
8/6/1990,0.3025
5/4/1990,0.3025
2/5/1990,0.3025
11/2/1989,0.3025
8/3/1989,0.3025
5/4/1989,0.3025
2/2/1989,0.275
11/4/1988,0.275
8/4/1988,0.275
5/5/1988,0.275
2/4/1988,0.275
11/5/1987,0.275
8/6/1987,0.275
5/7/1987,0.275
2/5/1987,0.275
11/5/1986,0.275
8/7/1986,0.275
5/8/1986,0.275
2/7/1986,0.275
11/6/1985,0.275
8/8/1985,0.275
5/3/1985,0.275
2/6/1985,0.275
10/31/1984,0.275
8/8/1984,0.275
5/4/1984,0.2375
2/3/1984,0.2375
11/2/1983,0.2375
8/4/1983,0.2375
5/5/1983,0.2375
2/3/1983,0.215
11/4/1982,0.215
8/5/1982,0.215
5/6/1982,0.215
2/4/1982,0.215
11/4/1981,0.215
8/6/1981,0.215
5/7/1981,0.215
2/5/1981,0.215
11/5/1980,0.215
8/7/1980,0.215
5/8/1980,0.215
2/6/1980,0.215
11/7/1979,0.215
8/8/1979,0.215
5/4/1979,0.215
2/7/1979,0.215
11/1/1978,0.18
8/3/1978,0.18
5/4/1978,0.18
2/3/1978,0.18
11/2/1977,0.15625
8/4/1977,0.15625
5/5/1977,0.15625
2/3/1977,0.15625
11/4/1976,0.14063
8/5/1976,0.14063
5/6/1976,0.10938
2/5/1976,0.10938
11/5/1975,0.10938
8/7/1975,0.10938
5/8/1975,0.09375
2/6/1975,0.09375
11/6/1974,0.09375
8/8/1974,0.09375
5/8/1974,0.08
2/6/1974,0.08
11/8/1973,0.07
8/8/1973,0.07
5/4/1973,0.07
2/7/1973,0.07
11/8/1972,0.0675
8/3/1972,0.0675
5/4/1972,0.0675
2/3/1972,0.0675
11/5/1971,0.065
8/6/1971,0.065
5/7/1971,0.065
2/5/1971,0.065
10/30/1970,0.06
7/31/1970,0.06
5/1/1970,0.06
11/6/1969,0.05
8/1/1969,0.05
5/2/1969,0.04
2/6/1969,0.04
8/2/1968,0.0325
5/3/1968,0.0325
2/5/1968,0.0325
11/3/1967,0.0275
8/7/1967,0.00275
5/1/1967,0.00275
2/6/1967,0.00275
11/3/1966,0.00275
8/9/1966,0.00275
5/24/1966,0.00275
2/8/1966,0.0025
11/1/1965,0.0025
8/3/1965,0.0025
5/4/1965,0.0025
2/2/1965,0.0025
11/2/1964,0.00208
8/4/1964,0.00208
5/25/1964,0.00208
2/4/1964,0.00167
11/4/1963,0.00167
8/6/1963,0.00133
5/7/1963,0.00133
2/5/1963,0.00133
11/5/1962,0.001
8/7/1962,0.001
5/8/1962,0.001
2/6/1962,0.001
